order_id,customer_id,order date,Item_name,sales,quantity,discount,profit,"Current Month Sales
","
Previous Month Sales
","Sales Variance
",Growth %,month,Region
1,U3522,08-11-2016,Fried Chicken,261.96,2,0%,41.91,0,261.96,-261.96,-10000%,Nov-2016,South
2,U9214,08-11-2016,Sandwich,731.94,3,0%,219.58,0,731.94,-731.94,-10000%,Nov-2016,South
3,U7307,12-06-2016,Koshary,14.62,2,0%,6.87,0,0,0.00,0%,Jun-2016,West
4,U3612,11-10-2015,Sushi,957.58,5,45%,-383.03,0,0,0.00,0%,Oct-2015,South
5,U3492,11-10-2015,Koshary,22.37,2,20%,2.52,0,0,0.00,0%,Oct-2015,South
6,U7439,09-06-2014,Sushi,48.86,7,0%,14.17,0,0,0.00,0%,Jun-2014,West
7,U8948,09-06-2014,Sushi,7.28,4,0%,1.97,0,0,0.00,0%,Jun-2014,West
8,U8672,09-06-2014,Shawarma,907.15,6,20%,90.72,0,0,0.00,0%,Jun-2014,West
9,U2205,09-06-2014,Pizza,18.5,3,20%,5.78,0,0,0.00,0%,Jun-2014,West
10,U7411,09-06-2014,Pizza,114.9,5,0%,34.47,0,0,0.00,0%,Jun-2014,West
11,U7405,09-06-2014,Sushi,1706.18,9,20%,85.31,0,0,0.00,0%,Jun-2014,West
12,U8337,09-06-2014,Burger,911.42,4,20%,68.36,0,0,0.00,0%,Jun-2014,West
13,U5398,15-04-2017,Burger,15.55,3,20%,5.44,0,0,0.00,0%,Apr-2017,South
14,U9001,05-12-2016,Sushi,407.98,3,20%,132.59,407.98,0,407.98,0%,Dec-2016,West
15,U8797,22-11-2015,Burger,68.81,5,80%,-123.86,0,0,0.00,0%,Nov-2015,Central
16,U4706,22-11-2015,Salad,2.54,3,80%,-3.82,0,0,0.00,0%,Nov-2015,Central
17,U9985,11-11-2014,Pizza,665.88,6,0%,13.32,0,0,0.00,0%,Nov-2014,Central
18,U2654,13-05-2014,Koshary,55.5,2,0%,9.99,0,0,0.00,0%,May-2014,West
19,U3339,27-08-2014,Salad,8.56,2,0%,2.48,0,0,0.00,0%,Aug-2014,West
20,U4958,27-08-2014,Shawarma,213.48,3,20%,16.01,0,0,0.00,0%,Aug-2014,West
21,U4475,27-08-2014,Sandwich,22.72,4,20%,7.38,0,0,0.00,0%,Aug-2014,West
22,U9036,09-12-2016,Pizza,19.46,7,0%,5.06,19.46,0,19.46,0%,Dec-2016,Central
23,U5581,09-12-2016,Sushi,60.34,7,0%,15.69,60.34,0,60.34,0%,Dec-2016,Central
24,U2186,16-07-2017,Salad,71.37,2,30%,-1.02,0,0,0.00,0%,Jul-2017,East
